CER Category					Examples	AutoExpanded
	Difficulty				easily, easy, difficult, average, normal, hard, simple, trivial, arduous, challenging, catchy, troublesome, trying, easier, strenuous, stressful, difficulty, facilitated, regular, simplifying, convenient, readily	easily, easy, difficult, average, normal, hard, simple, trivial, arduous, challenging, catchy, troublesome, trying, easier, strenuous, stressful, difficulty, facilitated, regular, simplifying, |, averages, facilitating, challenge, easiest, facilitate, normally, catchiest, challenged, simpled, catchier, regularly, averaging, regulars, simples, difficulties, simplify, normals, averaged, simplified, simplest, tried, simplifies, tries, hardest, harder, challenges, simpling, simpler, facilitates
	Other properties				layered, covered, distinctive, diversity, amniotic, crowded, divergent, magnetic, diferentiated, inorganic, constructive, destructive, incompleteness, irregularity, primarily, tropical, active, atmospheric, connected, rich, thriving, repetitive, interchangeable, efficient, efficiency, sealed, grounded, responsible, barren, necessary, human-induced, suitable, industrial, controversial, mileage, well-known, distilled, heat-sensing, environmentally-friendly, "green", recycled, double-paned, selective, consumptive, violent, wild, unbreathable, unpredictable, recyclable, biodegradable, ecological, good stewardship, independent, organic, slightly, moderate, intensity, environmentally responsible, extremely, environmentally friendly, highly, done, urban, private, evenly, highly, unaided, stellar, closely, recognizable, evident, specific, windblown, half full, dramatic, interested, concerned, measurable, seriously, sensitive, theoretical, treeless, pressurized, itchy, overpopulated, accidentally, semiconservative, airtight, suspended, interesting, comfortable, comfortably, private, surgically, motorless, authority, inspiring, famous, automatically, itchy, rash, culture, unused, happier, stressful, photosynthetic, precision, detailed, anyway, glory, freedom, fun, magellanic	layered, covered, distinctive, diversity, amniotic, crowded, divergent, magnetic, diferentiated, inorganic, constructive, destructive, incompleteness, irregularity, primarily, tropical, active, atmospheric, connected, rich, thriving, repetitive, interchangeable, efficient, efficiency, sealed, grounded, responsible, barren, necessary, human-induced, suitable, industrial, controversial, mileage, well-known, distilled, heat-sensing, environmentally-friendly, "green", recycled, double-paned, selective, consumptive, violent, wild, unbreathable, unpredictable, recyclable, biodegradable, ecological, good stewardship, independent, organic, slightly, moderate, intensity, environmentally responsible, extremely, environmentally friendly, highly, done, urban, private, evenly, highly, unaided, stellar, closely, recognizable, evident, specific, windblown, half full, dramatic, interested, concerned, measurable, seriously, sensitive, theoretical, treeless, pressurized, itchy, overpopulated, accidentally, semiconservative, airtight, suspended, interesting, comfortable, comfortably, private, surgically, motorless, authority, inspiring, famous, automatically, itchy, rash, culture, unused, happier, stressful, photosynthetic, precision, detailed, |, grounds, heat sensing, pressurizes, mileages, human induced, cultures, layers, inspired, connects, richer, efficiently, industrials, inspires, organics, double paned, connect, wilds, good-stewardship, cultured, thrived, specifically, grounding, crowding, covers, privates, barrener, actives, throve, inspire, diverge, recycling, itchier, dont, diversities, seals, concerns, diverges, suspending, diverging, covering, suspend, happiest, sealing, detailing, efficiencies, well known, concern, pressurizing, did, moderating, recycles, thrives, doing, consumptives, authorities, wildest, crowds, thriven, richest, dramatics, moderated, wilder, moderates, distinctively, environmentally-responsible, rashes, dramatically, selectively, privately, interests, half-full, details, precisions, suspends, concerning, detail, independents, layering, connecting, barrenest, recycle, recyclables, rasher, riches, specifics, diverged, itchiest, necessaries, rashest, intensities, distills, culturing, distilling, connections, irregularities
						
						
Numbers					number, amount, quantity, quantification, numerical, counting, numerical comparison, enumeration, numbering, tallying, count, tally	number, amount, quantity, quantification, numerical, counting, numerical comparison, enumeration, numbering, tallying, |, enumerations, tallies, numbered, numbed, numerical-comparison, numbest, numbers, numbing, quantities, numbs, counted, counts, quantifications, amounted, amounting, tallied, amounts
	Cardinal Number				one, two, three, four, 1, 12, 28, 7, 13, 130000, 2400, fifteen thousand, forty-five hundred, 4, 3, 80, 32, 150, 365, 23, 75, 22, -4, 50, 6, 30, 65, 17, 21, 100, -3, 20, 5, 24, 2, 8, hundred, seven, ten	one, two, three, four, 1, 12, 28, 7, 13, 130000, 2400, fifteen thousand, forty-five hundred, 4, 3, 80, 32, |, fourth, thirteenth, once, 15, twos, 16, twelfth, 10, forty-five-hundred, twenty-eighth, fifteen-thousand, 14, seventh, third, threes, ones, fours, forty five hundred, eightieth, thirty-second
	Arithmetic measure				seven times, once, twice, 24 times, 365 times, ten times, millions, hundreds, thrice, three times, billions, tens, thousands, trillions, 50x, triple, 16th, 17th, 19th, seventeenth	seven times, once, twice, 24 times, 365 times, ten times, millions, hundreds, thrice, three times, billions, tens, thousands, trillions, 50x, triple, |, tripling, tripled, trillion, ten-times, billion, seven-times, ones, triples, 365-times, thousand, 24-times, three-times, million
	Relative Number				several, abundance, fewer, lots, many, tankful, relative, too much, some, a few, a couple, a pair, multiple, much, half, little, single, too little, high, low, one-half, uneven, great deal, heavily, greatly, odd number, even number, odd, even, shortage, extra, plenty, enormously, noticeably, exact, maximized, enough, too few, too many, slight	several, abundance, fewer, lots, many, tankful, relative, too much, some, a few, a couple, a pair, multiple, much, half, little, single, too little, high, low, one-half, uneven, great deal, heavily, greatly, odd number, even number, odd, even, shortage, extra, plenty, enormously, noticeably, exact, maximized, enough, |, odd-number, too-little, halfs, maximizes, odds, exacts, a-few, littlest, less, littler, lowest, exacted, great-deal, relatives, a-pair, higher, exacter, lowing, odder, oddest, singles, lower, fewest, a-couple, exactly, abundant, multiples, least, singling, most, enoughs, shortages, highest, one half, lowed, singled, maximizing, lows, few, even-number, evened, evenner, extras, highs, lot, evens, exactest, more, relatively, abundances, exacting, evennest, evening, too-much
	Calculations				x, times, divide, average, multiply, add, subtract, *, /, +, -, negative, positive, exponent, calculation, gradient, ^, double, doubled, triple, doubling, sum, sum of, plus, fraction, →, \, <, >, plus, math	x, times, divide, average, multiply, add, subtract, *, /, +, -, negative, positive, exponent, calculation, gradient, ^, double, doubled, triple, doubling, sum, sum of, plus, fraction, |, averages, subtracting, adding, calculations, sum-of, positively, tripling, negatived, timed, tripled, sums, fractions, subtracted, exponents, averaging, subtracts, calculating, dividing, divides, negatively, multiplies, divided, adds, timing, summing, negativing, summed, calculates, added, calculated, calculate, multiplied, gradients, positives, pluses, triples, averaged, negatives, plusses, time, --, multiplying, doubles
						
						
Geography					geographical, geography, human geography, physical geography, spatial analysis, area studies, Earth sciences, land-human relationships, geomatics, integrated geography, geology, oceanography, biogeography, coastal geography, geodesy, environmental geography, geomorphology, pedology, quaternary science, hydrology, hydrography, topography	geographical, geography, human geography, physical geography, spatial analysis, area studies, earth sciences, land-human relationships, geomatics, integrated geography, geology, oceanography, biogeography, coastal geography, geodesy, environmental geography, geomorphology, pedology, quaternary science, hydrology, hydrography, topography, |, environmental-geography, integrated-geography, geologies, spatial-analysis, physical-geography, geographic, topographies, land-human-relationships, earth-sciences, geomorphologies, area-studies, human-geography, land human relationships, quaternary-science, hydrologies, coastal-geography, geographies
	Earth parts (gross) (ground, atmosphere)				atmosphere, horizon, Northern Hemisphere, southern hemisphere, ocean, air, equator, region, surface, north pole, south pole, longitude, Tropic of Cancer, pole, tropics, Prime Meridian, polar ice caps, pole, hemisphere, equatorial region, meridian	atmosphere, horizon, northern hemisphere, southern hemisphere, ocean, air, equator, region, surface, north pole, south pole, longitude, tropic of cancer, pole, tropics, prime meridian, polar ice caps, pole, hemisphere, equatorial region, |, regional, poles, southern-hemisphere, airs, surfaces, poled, horizons, equatorial-region, aircraft, polar-ice-caps, poling, surfacing, regions, equators, aired, prime-meridian, northern-hemisphere, tropic-of-cancer, longitudes, hemispheres, surfaced, north-pole, south-pole, airing, atmospheres, oceans
	Layers of the Earth				crust, mantle, core, outer core, inner core, lithosphere, atmosphere, mesosphere, troposphere, thermosphere, exosphere, stratosphere, biosphere, hydrosphere, asthenosphere, Earth subsystems	crust, mantle, core, outer core, inner core, lithosphere, atmosphere, mesosphere, troposphere, thermosphere, exosphere, stratosphere, biosphere, hydrosphere, asthenosphere, earth subsystems, |, stratospheres, crusted, cored, cores, crusting, earth-subsystems, outer-core, mantling, biospheres, lithospheres, mantles, crusts, mesospheres, coring, mantled, inner-core, atmospheres, tropospheres
		parts of Earth layers			tectonic plate, divergent boundries, convergent boundries, continental shelves, plate boundary, plate, continental slope, continental plate, oceanic plate, crustal plates, transform plate boundary, transform boundary, convergent, divergent, continental shelf, divergent boundry, convergent boundry, plate tectonics	tectonic plate, divergent boundries, convergent boundries, continental shelves, plate boundary, plate, continental slope, continental plate, oceanic plate, crustal plates, transform plate boundary, transform boundary, convergent, divergent, continental shelf, divergent boundry, convergent boundry, plate tectonics, |, plate-boundary, plates, oceanic-plate, diverge, continental-shelves, continental-slope, diverges, continental-shelf, transform-plate-boundary, diverging, convergent-boundries, divergent-boundries, plated, tectonic-plate, transform-boundary, convergent-boundry, diverged, continental-plate, crustal-plates, divergent-boundry, plate-tectonics, plating
